IBOV - Carteira do Dia 03/10/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON  ED  NM;466.632.333;0,544;
ABEV3;AMBEV S/A;ON;4.273.841.357;2,358;
ASAI3;ASSAI;ON      NM;1.344.470.815;0,576;
AURE3;AUREN;ON      NM;318.338.365;0,149;
AZZA3;AZZAS 2154;ON      NM;134.911.449;0,175;
B3SA3;B3;ON  EJ  NM;5.196.371.458;3,086;
BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,943;
BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,999;
BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;4,036;
BRAP4;BRADESPAR;PN      N1;250.973.136;0,199;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,861;
BRKM5;BRASKEM;PNA     N1;265.876.767;0,082;
BRAV3;BRAVA;ON      NM;461.715.081;0,378;
BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;3,069;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,416;
CEAB3;CEA MODAS;ON      NM;138.420.009;0,101;
CMIG4;CEMIG;PN  EJ  N1;1.904.057.894;0,952;
COGN3;COGNA ON;ON      NM;1.810.877.718;0,265;
CPLE6;COPEL;PNB     N2;1.671.982.390;0,975;
CSAN3;COSAN;ON      NM;1.148.010.756;0,317;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,332;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,422;
CURY3;CURY S/A;ON  ED  NM;135.117.425;0,206;
CVCB3;CVC BRASIL;ON      NM;450.059.727;0,038;
CYRE3;CYRELA REALT;ON      NM;256.055.995;0,360;
DIRR3;DIRECIONAL;ON      NM;325.640.184;0,239;
ELET3;ELETROBRAS;ON      N1;1.821.923.647;4,416;
ELET6;ELETROBRAS;PNB     N1;270.513.025;0,692;
EMBR3;EMBRAER;ON      NM;733.564.938;2,569;
ENGI11;ENERGISA;UNT     N2;325.503.046;0,751;
ENEV3;ENEVA;ON      NM;1.912.620.486;1,462;
EGIE3;ENGIE BRASIL;ON      NM;255.215.967;0,479;
EQTL3;EQUATORIAL;ON      NM;1.246.479.596;2,090;
FLRY3;FLEURY;ON      NM;447.171.522;0,331;
GGBR4;GERDAU;PN      N1;1.276.025.309;1,013;
GOAU4;GERDAU MET;PN      N1;622.976.844;0,284;
HAPV3;HAPVIDA;ON      NM;311.257.700;0,512;
HYPE3;HYPERA;ON  EJ  NM;293.521.155;0,311;
IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,234;
IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,183;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,453;
ITSA4;ITAUSA;PN      N1;5.853.286.928;3,022;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.611.334.219;8,090;
KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,657;
RENT3;LOCALIZA;ON  EJ  NM;977.042.684;1,753;
LREN3;LOJAS RENNER;ON  EJ  NM;1.000.358.705;0,685;
MGLU3;MAGAZ LUIZA;ON      NM;355.414.674;0,151;
POMO4;MARCOPOLO;PN      N2;661.573.516;0,268;
MBRF3;MARFRIG;ON      NM;708.146.298;0,618;
BEEF3;MINERVA;ON      NM;433.648.983;0,136;
MOTV3;MOTIVA SA;ON      NM;988.559.510;0,658;
MRVE3;MRV;ON      NM;375.402.024;0,125;
MULT3;MULTIPLAN;ON  EJ  N2;314.022.221;0,411;
NATU3;NATURA;ON      NM;839.505.097;0,350;
PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,078;
PETR3;PETROBRAS;ON      N2;2.643.091.977;4,073;
PETR4;PETROBRAS;PN      N2;4.410.960.450;6,341;
RECV3;PETRORECSA;ON      NM;274.720.419;0,158;
PRIO3;PETRORIO;ON      NM;762.764.253;1,351;
PSSA3;PORTO SEGURO;ON  EJ  NM;181.016.454;0,409;
RADL3;RAIADROGASIL;ON      NM;1.285.713.898;1,072;
RAIZ4;RAIZEN;PN      N2;1.226.933.170;0,057;
RDOR3;REDE D OR;ON  EJ  NM;1.091.469.308;2,097;
RAIL3;RUMO S.A.;ON      NM;1.215.488.549;0,894;
SBSP3;SABESP;ON      NM;596.215.913;3,510;
SANB11;SANTANDER BR;UNT;360.347.199;0,482;
CSNA3;SID NACIONAL;ON;727.975.012;0,275;
SLCE3;SLC AGRICOLA;ON      NM;197.693.014;0,149;
SMFT3;SMART FIT;ON      NM;427.078.008;0,501;
SUZB3;SUZANO S.A.;ON  ATZ NM;645.082.079;1,495;
TAEE11;TAESA;UNT     N2;218.568.234;0,369;
VIVT3;TELEF BRASIL;ON;738.065.812;1,135;
TIMS3;TIM;ON  EJ  NM;804.628.136;0,864;
TOTS3;TOTVS;ON  EJ  NM;533.261.054;1,082;
UGPA3;ULTRAPAR;ON      NM;1.071.443.332;1,051;
USIM5;USIMINAS;PNA     N1;459.046.773;0,093;
VALE3;VALE;ON      NM;4.267.772.018;11,587;
VAMO3;VAMOS;ON      NM;498.192.519;0,075;
VBBR3;VIBRA;ON      NM;1.112.563.218;1,226;
VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,161;
WEGE3;WEG;ON  EJ  NM;1.485.954.732;2,483;
YDUQ3;YDUQS PART;ON      NM;260.753.144;0,150;
Quantidade Teórica Total;;;90.587.133.892;100,000
Redutor;;;15.019.274,20202473
